Word,appearsInR,In R,appearsInPG,In PG,Difference
tiled,54,10%,16,5%,6%
thumb,190,37%,103,31%,6%
vest,104,20%,48,14%,6%
slit,93,18%,41,12%,6%
drove,143,28%,73,22%,6%
brutally,71,14%,27,8%,6%
brakes,207,40%,114,34%,6%
nailed,96,18%,43,13%,6%
sobs,146,28%,75,23%,6%
polaroids,35,7%,4,1%,6%
wanders,196,38%,107,32%,6%
neighbors,135,26%,68,20%,6%
paul,124,24%,61,18%,6%
rage,260,50%,148,45%,6%
briefcase,174,34%,93,28%,6%
neatly,174,34%,93,28%,6%
celebrity,63,12%,22,7%,6%
sobbing,188,36%,102,31%,6%
carton,77,15%,31,9%,5%
politics,77,15%,31,9%,5%
girlfriend,213,41%,118,36%,5%
gun,399,77%,237,71%,5%
cranks,91,18%,40,12%,5%
quentin,30,6%,1,0%,5%
clerk,166,32%,88,27%,5%
institution,55,11%,17,5%,5%
shatters,191,37%,104,31%,5%
worked,327,63%,191,58%,5%
rat,155,30%,81,24%,5%
lovemaking,44,8%,10,3%,5%
rifle,180,35%,97,29%,5%
stress,94,18%,42,13%,5%
runnin,58,11%,19,6%,5%
alcohol,108,21%,51,15%,5%
brutal,108,21%,51,15%,5%
constantly,108,21%,51,15%,5%
sense,430,83%,257,77%,5%
sweat,319,61%,186,56%,5%
pressed,208,40%,115,35%,5%
van,233,45%,131,39%,5%
johnny,86,17%,37,11%,5%
filthy,150,29%,78,23%,5%
shower,286,55%,165,50%,5%
deal,447,86%,268,81%,5%
bunny,53,10%,16,5%,5%
vietnam,53,10%,16,5%,5%
guess,461,89%,277,83%,5%
cautiously,214,41%,119,36%,5%
numb,103,20%,48,14%,5%
orange,239,46%,135,41%,5%
cubes,42,8%,9,3%,5%
nuts,228,44%,128,39%,5%
stains,81,16%,34,10%,5%
check,453,87%,272,82%,5%
slumps,206,40%,114,34%,5%
breathing,367,71%,217,65%,5%
bro,59,11%,20,6%,5%
dealers,59,11%,20,6%,5%
duct,84,16%,36,11%,5%
grease,84,16%,36,11%,5%
mask,245,47%,139,42%,5%
agent,184,35%,100,30%,5%
faucet,73,14%,29,9%,5%
hung,209,40%,116,35%,5%
shaky,98,19%,45,14%,5%
softly,309,60%,180,54%,5%
bothers,62,12%,22,7%,5%
expressionless,87,17%,38,11%,5%
recorder,112,22%,54,16%,5%
flinch,76,15%,31,9%,5%
blown,237,46%,134,40%,5%
product,90,17%,40,12%,5%
desks,115,22%,56,17%,5%
key,387,75%,230,69%,5%
somebody,387,75%,230,69%,5%
tap,165,32%,88,27%,5%
spits,215,41%,120,36%,5%
occasional,104,20%,49,15%,5%
bartender,154,30%,81,24%,5%
bags,315,61%,184,55%,5%
groceries,107,21%,51,15%,5%
kinds,157,30%,83,25%,5%
identified,71,14%,28,8%,5%
pours,393,76%,234,70%,5%
sirens,171,33%,92,28%,5%
extreme,160,31%,85,26%,5%
drive,432,83%,259,78%,5%
shoes,346,67%,204,61%,5%
cautious,99,19%,46,14%,5%
chick,99,19%,46,14%,5%
nightstand,63,12%,23,7%,5%
pink,224,43%,126,38%,5%
smoke,410,79%,245,74%,5%
linoleum,52,10%,16,5%,5%
psychiatrist,52,10%,16,5%,5%
blew,152,29%,80,24%,5%
pocket,449,87%,270,81%,5%
morgue,66,13%,25,8%,5%
psycho,66,13%,25,8%,5%
flares,91,18%,41,12%,5%
bathrobe,116,22%,57,17%,5%
neighbor,141,27%,73,22%,5%
goin,166,32%,89,27%,5%
shitless,55,11%,18,5%,5%
pounds,291,56%,169,51%,5%
tit,44,8%,11,3%,5%
records,180,35%,98,30%,5%
shabby,69,13%,27,8%,5%
tax,83,16%,36,11%,5%
investigation,108,21%,52,16%,5%
heavily,269,52%,155,47%,5%
sometime,158,30%,84,25%,5%
slaps,319,61%,187,56%,5%
examination,72,14%,29,9%,5%
extracts,72,14%,29,9%,5%
mercedes,97,19%,45,14%,5%
bra,122,24%,61,18%,5%
statement,147,28%,77,23%,5%
drives,433,83%,260,78%,5%
